"loan_amnt";"funded_amnt";"int_rate";"grade";"emp_length";"home_ownership";"annual_inc";"loan_status";"purpose";"dti";"loan_status_1";"int_rate_grp";"emp_len_grp"
6,7;6,7;7;"A";"< 1 year";"RENT";12;"Charged Off";"other";6,6;"default_new";"Low";"Junior"
1,8;1,8;10;"B";"1 year";"MORTGAGE";50,004;"Charged Off";"other";18,93;"default_new";"Low";"Junior"
5,5;5,5;13;"C";"1 year";"RENT";95;"Charged Off";"moving";9,92;"default_new";"Medium";"Junior"
25;25;17;"E";"3 years";"RENT";80;"Charged Off";"small_business";6,63;"default_new";"Medium";"Junior"
10;10;6;"A";"< 1 year";"OWN";68,7;"Charged Off";"credit_card";16,54;"default_new";"Low";"Junior"
3;3;11;"B";"< 1 year";"RENT";41;"Charged Off";"medical";23,53;"default_new";"Medium";"Junior"
3,8;3,8;15;"D";"4 years";"RENT";75;"Charged Off";"debt_consolidation";4,35;"default_new";"Medium";"Junior"
20;20;16;"E";"7 years";"RENT";58,48;"Charged Off";"debt_consolidation";19,27;"default_new";"Medium";"Mid-level"
10;10;14;"D";"10+ years";"RENT";34;"Charged Off";"debt_consolidation";25,27;"default_new";"Medium";"Senior"
10,75;10,75;12;"C";"10+ years";"RENT";30,0672;"Charged Off";"major_purchase";22,59;"default_new";"Medium";"Senior"
7,2;7,2;6;"A";"1 year";"RENT";20,8;"Charged Off";"debt_consolidation";0,87;"default_new";"Low";"Junior"
22,75;22,75;18;"F";"1 year";"RENT";36;"Charged Off";"debt_consolidation";10,73;"default_new";"Medium";"Junior"
25;25;16;"D";"3 years";"RENT";90;"Charged Off";"small_business";1,24;"default_new";"Medium";"Junior"
21;21;17;"E";"4 years";"MORTGAGE";74;"Charged Off";"debt_consolidation";12,58;"default_new";"Medium";"Junior"
9,25;9,25;15;"D";"10+ years";"RENT";38;"Charged Off";"debt_consolidation";24,44;"default_new";"Medium";"Senior"
7;7;7;"A";"2 years";"MORTGAGE";136,5;"Charged Off";"credit_card";3,78;"default_new";"Low";"Junior"
15;15;20;"G";"3 years";"RENT";40;"Charged Off";"debt_consolidation";13,65;"default_new";"High";"Junior"
16;16;16;"E";"1 year";"MORTGAGE";70;"Late (31-120 days)";"credit_card";9,69;"late";"Medium";"Junior"
10;10;10;"B";"2 years";"MORTGAGE";68;"Charged Off";"debt_consolidation";12,51;"default_new";"Low";"Junior"
11;11;14;"D";"10+ years";"RENT";60;"Charged Off";"debt_consolidation";19,7;"default_new";"Medium";"Senior"
20;20;16;"E";"6 years";"OWN";65;"Charged Off";"debt_consolidation";21,62;"default_new";"Medium";"Mid-level"
8;8;15;"D";"3 years";"RENT";60;"Charged Off";"debt_consolidation";12,6;"default_new";"Medium";"Junior"
10;10;18;"F";"< 1 year";"RENT";38,088;"Charged Off";"debt_consolidation";16,76;"default_new";"Medium";"Junior"
14;14;13;"C";"10+ years";"MORTGAGE";136,5;"Charged Off";"debt_consolidation";14,96;"default_new";"Medium";"Senior"
7,5;7,5;14;"D";"2 years";"RENT";58,5;"Charged Off";"debt_consolidation";20,49;"default_new";"Medium";"Junior"
7;7;13;"C";"10+ years";"MORTGAGE";47,138;"Charged Off";"debt_consolidation";12,83;"default_new";"Medium";"Senior"
13;13;7;"A";"3 years";"RENT";66;"Charged Off";"small_business";11,02;"default_new";"Low";"Junior"
4;4;13;"C";"8 years";"RENT";50;"Charged Off";"debt_consolidation";14,14;"default_new";"Medium";"Mid-level"
20;20;10;"B";"10+ years";"OWN";54;"Charged Off";"major_purchase";14,36;"default_new";"Low";"Senior"
4;4;13;"C";"2 years";"RENT";35,004;"Charged Off";"debt_consolidation";5,35;"default_new";"Medium";"Junior"
20;20;14;"D";"2 years";"MORTGAGE";120;"Charged Off";"credit_card";7,91;"default_new";"Medium";"Junior"
14;14;10;"B";"10+ years";"RENT";57,6;"Charged Off";"debt_consolidation";20,02;"default_new";"Low";"Senior"
10;10;19;"F";"7 years";"MORTGAGE";65;"Charged Off";"debt_consolidation";6,65;"default_new";"High";"Mid-level"
14;14;10;"B";"7 years";"MORTGAGE";40;"Charged Off";"small_business";11,1;"default_new";"Low";"Mid-level"
15;15;13;"C";"5 years";"MORTGAGE";68;"Charged Off";"debt_consolidation";18,95;"default_new";"Medium";"Mid-level"
14;14;13;"C";"10+ years";"MORTGAGE";80,004;"Charged Off";"debt_consolidation";13,86;"default_new";"Medium";"Senior"
9,6;9,6;10;"B";"4 years";"OWN";33;"Charged Off";"debt_consolidation";17,24;"default_new";"Low";"Junior"
25;25;13;"C";"10+ years";"MORTGAGE";79;"Charged Off";"credit_card";13,7;"default_new";"Medium";"Senior"
6;6;16;"D";"10+ years";"MORTGAGE";91;"Charged Off";"debt_consolidation";2,15;"default_new";"Medium";"Senior"
1;1;7;"A";"n/a";"OWN";33,24;"Charged Off";"debt_consolidation";12,96;"default_new";"Low";"Junior"
12;12;15;"D";"3 years";"MORTGAGE";45;"Charged Off";"credit_card";17,28;"default_new";"Medium";"Junior"
10;10;10;"B";"10+ years";"RENT";43,2;"Charged Off";"debt_consolidation";9,97;"default_new";"Low";"Senior"
12;12;18;"F";"7 years";"MORTGAGE";60;"Charged Off";"debt_consolidation";18,34;"default_new";"Medium";"Mid-level"
14;14;13;"C";"5 years";"RENT";65;"Charged Off";"small_business";6,85;"default_new";"Medium";"Mid-level"
6;6;11;"B";"4 years";"RENT";31,2;"Charged Off";"debt_consolidation";21,92;"default_new";"Medium";"Junior"
5;5;14;"D";"2 years";"RENT";36;"Charged Off";"other";6,37;"default_new";"Medium";"Junior"
7;7;10;"B";"4 years";"MORTGAGE";29,5;"Charged Off";"credit_card";19,4;"default_new";"Low";"Junior"
8;8;16;"E";"9 years";"RENT";36,996;"Charged Off";"debt_consolidation";17,48;"default_new";"Medium";"Senior"
25;25;16;"E";"6 years";"RENT";119,4;"Charged Off";"debt_consolidation";3,33;"default_new";"Medium";"Mid-level"
10;10;7;"A";"8 years";"MORTGAGE";96;"Charged Off";"other";17,65;"default_new";"Low";"Mid-level"
8;8;13;"C";"8 years";"MORTGAGE";96;"Charged Off";"car";11,22;"default_new";"Medium";"Mid-level"
9;9;17;"E";"10+ years";"RENT";60;"Charged Off";"debt_consolidation";20,16;"default_new";"Medium";"Senior"
4;4;14;"C";"n/a";"MORTGAGE";36;"Charged Off";"major_purchase";12,93;"default_new";"Medium";"Junior"
16;16;17;"E";"4 years";"RENT";75,108;"Charged Off";"debt_consolidation";13,71;"default_new";"Medium";"Junior"
5;5;14;"D";"< 1 year";"RENT";66;"Charged Off";"credit_card";2,15;"default_new";"Medium";"Junior"
10;10;10;"B";"10+ years";"RENT";30;"Charged Off";"debt_consolidation";20,88;"default_new";"Low";"Senior"
5;5;9;"B";"8 years";"RENT";40;"Charged Off";"credit_card";3,39;"default_new";"Low";"Mid-level"
5;5;13;"C";"1 year";"RENT";22,992;"Charged Off";"debt_consolidation";21,56;"default_new";"Medium";"Junior"
8;8;11;"B";"2 years";"RENT";36;"Charged Off";"debt_consolidation";22,83;"default_new";"Medium";"Junior"
9,6;9,6;16;"D";"< 1 year";"RENT";24;"Charged Off";"credit_card";12,35;"default_new";"Medium";"Junior"
20;20;11;"B";"10+ years";"RENT";44;"Charged Off";"small_business";17,67;"default_new";"Medium";"Senior"
5,5;5,5;14;"D";"2 years";"RENT";21,7;"Charged Off";"debt_consolidation";18,3;"default_new";"Medium";"Junior"
12;12;17;"E";"10+ years";"RENT";70;"Charged Off";"other";20,69;"default_new";"Medium";"Senior"
5;5;14;"C";"n/a";"MORTGAGE";48;"Charged Off";"car";20,4;"default_new";"Medium";"Junior"
4;4;12;"C";"5 years";"RENT";20;"Charged Off";"small_business";12,96;"default_new";"Medium";"Mid-level"
5;5;10;"B";"10+ years";"MORTGAGE";38,4;"Charged Off";"medical";0,78;"default_new";"Low";"Senior"
16;16;15;"D";"10+ years";"MORTGAGE";90;"Charged Off";"debt_consolidation";17,53;"default_new";"Medium";"Senior"
3,6;3,6;10;"B";"10+ years";"MORTGAGE";70;"Charged Off";"credit_card";21,29;"default_new";"Low";"Senior"
4;4;10;"B";"8 years";"RENT";54;"Charged Off";"debt_consolidation";15,58;"default_new";"Low";"Mid-level"
7;7;10;"B";"10+ years";"MORTGAGE";73;"Charged Off";"debt_consolidation";17,24;"default_new";"Low";"Senior"
2,1;2,1;17;"E";"10+ years";"RENT";60;"Charged Off";"debt_consolidation";3,42;"default_new";"Medium";"Senior"
7,35;7,35;7;"A";"10+ years";"OWN";22;"Charged Off";"other";14,95;"default_new";"Low";"Senior"
15;15;13;"C";"10+ years";"MORTGAGE";43;"Charged Off";"small_business";16,94;"default_new";"Medium";"Senior"
10;10;10;"B";"4 years";"MORTGAGE";100;"Charged Off";"small_business";8,33;"default_new";"Low";"Junior"
4;4;13;"C";"< 1 year";"RENT";12;"Charged Off";"debt_consolidation";13,3;"default_new";"Medium";"Junior"
20;20;18;"F";"7 years";"RENT";62;"Charged Off";"debt_consolidation";16,95;"default_new";"Medium";"Mid-level"
10;10;18;"F";"n/a";"OWN";35;"Charged Off";"debt_consolidation";4,46;"default_new";"Medium";"Junior"
3;3;5;"A";"n/a";"MORTGAGE";18;"Charged Off";"debt_consolidation";6,53;"default_new";"Low";"Junior"
7;7;11;"B";"2 years";"OWN";36;"Charged Off";"debt_consolidation";8,2;"default_new";"Medium";"Junior"
20;20;18;"F";"< 1 year";"RENT";62;"Charged Off";"debt_consolidation";12,62;"default_new";"Medium";"Junior"
6;6;13;"C";"< 1 year";"MORTGAGE";45,1;"Charged Off";"debt_consolidation";2,31;"default_new";"Medium";"Junior"
5;5;10;"B";"10+ years";"MORTGAGE";77;"Charged Off";"other";13,36;"default_new";"Low";"Senior"
24;24;16;"E";"6 years";"MORTGAGE";90;"Charged Off";"credit_card";11,64;"default_new";"Medium";"Mid-level"
15;15;15;"E";"4 years";"RENT";70;"Charged Off";"small_business";6,17;"default_new";"Medium";"Junior"
25;25;13;"C";"10+ years";"MORTGAGE";136,5;"Charged Off";"debt_consolidation";13,51;"default_new";"Medium";"Senior"
1,6;1,6;14;"D";"5 years";"RENT";38;"Charged Off";"debt_consolidation";4,58;"default_new";"Medium";"Mid-level"
4,5;4,5;14;"D";"n/a";"RENT";50;"Charged Off";"moving";13,51;"default_new";"Medium";"Junior"
4,2;4,2;10;"B";"6 years";"OWN";44,5;"Charged Off";"home_improvement";20,68;"default_new";"Low";"Mid-level"
4;4;15;"E";"10+ years";"RENT";31;"Charged Off";"debt_consolidation";20,55;"default_new";"Medium";"Senior"
15,25;15,25;15;"D";"10+ years";"MORTGAGE";98,279;"Charged Off";"debt_consolidation";23,41;"default_new";"Medium";"Senior"
5;5;6;"A";"5 years";"RENT";40,8;"Charged Off";"debt_consolidation";7,15;"default_new";"Low";"Mid-level"
15;15;16;"E";"4 years";"MORTGAGE";100;"Charged Off";"home_improvement";9,25;"default_new";"Medium";"Junior"
14,5;14,5;15;"D";"6 years";"RENT";48;"Charged Off";"debt_consolidation";21,88;"default_new";"Medium";"Mid-level"
9;9;15;"D";"3 years";"RENT";34;"Charged Off";"debt_consolidation";10,66;"default_new";"Medium";"Junior"
15,25;15,25;20;"G";"< 1 year";"RENT";55;"Charged Off";"debt_consolidation";22,6;"default_new";"High";"Junior"
15;15;12;"C";"8 years";"MORTGAGE";95;"Charged Off";"major_purchase";3,45;"default_new";"Medium";"Mid-level"
5,6;5,6;13;"C";"6 years";"RENT";60;"Charged Off";"wedding";18,8;"default_new";"Medium";"Mid-level"
3;3;6;"A";"n/a";"OWN";24;"Charged Off";"credit_card";2,2;"default_new";"Low";"Junior"
5;5;13;"C";"8 years";"RENT";36;"Charged Off";"medical";5,17;"default_new";"Medium";"Mid-level"
16;16;12;"C";"10+ years";"MORTGAGE";60;"Charged Off";"debt_consolidation";6,94;"default_new";"Medium";"Senior"
15;15;18;"F";"3 years";"RENT";60;"Charged Off";"debt_consolidation";14,54;"default_new";"Medium";"Junior"
12,25;12,25;6;"A";"4 years";"MORTGAGE";40;"Charged Off";"debt_consolidation";10,89;"default_new";"Low";"Junior"
10;10;15;"D";"< 1 year";"RENT";72;"Charged Off";"credit_card";15,45;"default_new";"Medium";"Junior"
25;25;15;"D";"10+ years";"MORTGAGE";81;"Charged Off";"debt_consolidation";6,74;"default_new";"Medium";"Senior"
12;12;12;"C";"3 years";"RENT";60;"Charged Off";"debt_consolidation";7,76;"default_new";"Medium";"Junior"
10,75;10,75;15;"D";"< 1 year";"RENT";24;"Charged Off";"debt_consolidation";10,8;"default_new";"Medium";"Junior"
10;10;10;"B";"10+ years";"RENT";40;"Charged Off";"debt_consolidation";16,17;"default_new";"Low";"Senior"
10;10;12;"C";"< 1 year";"MORTGAGE";132;"Charged Off";"debt_consolidation";20,88;"default_new";"Medium";"Junior"
4,2;4,2;15;"D";"5 years";"RENT";38,664;"Charged Off";"moving";19,06;"default_new";"Medium";"Mid-level"
14;14;6;"A";"5 years";"MORTGAGE";132;"Charged Off";"wedding";22,85;"default_new";"Low";"Mid-level"
8,3;8,3;12;"C";"n/a";"MORTGAGE";22,8;"Charged Off";"debt_consolidation";10,79;"default_new";"Medium";"Junior"
13,75;13,75;9;"B";"9 years";"MORTGAGE";65;"Charged Off";"debt_consolidation";23,91;"default_new";"Low";"Senior"
6;6;14;"D";"2 years";"RENT";60;"Charged Off";"debt_consolidation";10,04;"default_new";"Medium";"Junior"
6;6;6;"A";"6 years";"MORTGAGE";26,4;"Charged Off";"debt_consolidation";9,27;"default_new";"Low";"Mid-level"
8;8;6;"A";"6 years";"MORTGAGE";42;"Charged Off";"home_improvement";8,51;"default_new";"Low";"Mid-level"
23;23;6;"A";"10+ years";"MORTGAGE";98;"Charged Off";"debt_consolidation";20,85;"default_new";"Low";"Senior"
9,25;9,25;10;"B";"5 years";"RENT";26;"Charged Off";"credit_card";23,35;"default_new";"Low";"Mid-level"
15;15;16;"E";"10+ years";"RENT";33,6;"Charged Off";"debt_consolidation";16,93;"default_new";"Medium";"Senior"
9,6;9,6;12;"C";"2 years";"MORTGAGE";60;"Charged Off";"debt_consolidation";2,56;"default_new";"Medium";"Junior"
10;10;15;"D";"10+ years";"RENT";49;"Charged Off";"credit_card";11,63;"default_new";"Medium";"Senior"
20;20;8;"B";"10+ years";"RENT";40;"Charged Off";"credit_card";10,35;"default_new";"Low";"Senior"
4;4;13;"C";"3 years";"RENT";15,996;"Charged Off";"debt_consolidation";17,03;"default_new";"Medium";"Junior"
1,5;1,5;13;"C";"2 years";"RENT";30,996;"Charged Off";"other";11,85;"default_new";"Medium";"Junior"
18;18;15;"E";"5 years";"RENT";52,8;"Charged Off";"debt_consolidation";11,45;"default_new";"Medium";"Mid-level"
14;14;6;"A";"5 years";"MORTGAGE";75;"Charged Off";"credit_card";10,93;"default_new";"Low";"Mid-level"
4;4;12;"C";"4 years";"RENT";45,6;"Charged Off";"credit_card";14,5;"default_new";"Medium";"Junior"
16,8;16,8;6;"A";"3 years";"MORTGAGE";43,2;"Charged Off";"debt_consolidation";18,89;"default_new";"Low";"Junior"
18;18;16;"E";"1 year";"RENT";55;"Charged Off";"debt_consolidation";23,3;"default_new";"Medium";"Junior"
15;15;15;"D";"3 years";"RENT";53;"Charged Off";"debt_consolidation";5,93;"default_new";"Medium";"Junior"
10;10;15;"D";"3 years";"MORTGAGE";48;"Charged Off";"small_business";7,1;"default_new";"Medium";"Junior"
5;5;6;"A";"9 years";"OWN";56,4;"Charged Off";"debt_consolidation";5,79;"default_new";"Low";"Senior"
5;5;8;"B";"< 1 year";"RENT";30;"Charged Off";"debt_consolidation";12,8;"default_new";"Low";"Junior"
15;15;9;"B";"6 years";"MORTGAGE";102;"Charged Off";"debt_consolidation";13,2;"default_new";"Low";"Mid-level"
10;10;16;"E";"3 years";"MORTGAGE";60;"Charged Off";"other";19,54;"default_new";"Medium";"Junior"
9,8;9,8;9;"B";"8 years";"MORTGAGE";39;"Charged Off";"car";21,02;"default_new";"Low";"Mid-level"
5;5;13;"C";"4 years";"RENT";28;"Charged Off";"debt_consolidation";12,21;"default_new";"Medium";"Junior"
14;14;6;"A";"< 1 year";"MORTGAGE";42;"Charged Off";"small_business";4,26;"default_new";"Low";"Junior"
15;15;16;"E";"10+ years";"MORTGAGE";136,5;"Charged Off";"credit_card";8,49;"default_new";"Medium";"Senior"
6,5;6,5;6;"A";"10+ years";"MORTGAGE";64,8;"Charged Off";"debt_consolidation";8,48;"default_new";"Low";"Senior"
16;16;9;"B";"4 years";"MORTGAGE";60;"Charged Off";"debt_consolidation";17,32;"default_new";"Low";"Junior"
8;8;13;"C";"< 1 year";"RENT";36;"Charged Off";"debt_consolidation";14,9;"default_new";"Medium";"Junior"
3,45;3,45;9;"B";"< 1 year";"RENT";70;"Charged Off";"other";11,81;"default_new";"Low";"Junior"
7,025;7,025;6;"A";"< 1 year";"RENT";36,5;"Charged Off";"debt_consolidation";15,32;"default_new";"Low";"Junior"
6,8;6,8;6;"A";"< 1 year";"RENT";54;"Charged Off";"credit_card";16,04;"default_new";"Low";"Junior"
4,85;4,85;9;"B";"< 1 year";"MORTGAGE";58;"Charged Off";"debt_consolidation";18,17;"default_new";"Low";"Junior"
1,95;1,95;9;"B";"< 1 year";"MORTGAGE";100,128;"Charged Off";"credit_card";13,1;"default_new";"Low";"Junior"
7,05;7,05;12;"C";"n/a";"OWN";33,66444;"Charged Off";"credit_card";17,4;"default_new";"Medium";"Junior"
8,125;8,125;13;"C";"< 1 year";"MORTGAGE";50;"Charged Off";"credit_card";6,02;"default_new";"Medium";"Junior"
5,2;5,2;6;"A";"< 1 year";"MORTGAGE";75;"Charged Off";"debt_consolidation";12,37;"default_new";"Low";"Junior"
7,3;7,3;9;"B";"< 1 year";"MORTGAGE";65;"Charged Off";"debt_consolidation";19,83;"default_new";"Low";"Junior"
5;5;9;"B";"1 year";"RENT";36;"Charged Off";"other";13,03;"default_new";"Low";"Junior"
20;20;20;"G";"10+ years";"RENT";50;"Charged Off";"debt_consolidation";12,86;"default_new";"High";"Senior"
18,2;18,2;14;"D";"6 years";"MORTGAGE";53;"Charged Off";"credit_card";23,57;"default_new";"Medium";"Mid-level"
4;4;6;"A";"n/a";"RENT";40;"Charged Off";"medical";8,91;"default_new";"Low";"Junior"
25;25;10;"B";"< 1 year";"RENT";50,004;"Charged Off";"debt_consolidation";16,32;"default_new";"Low";"Junior"
7;7;12;"C";"10+ years";"RENT";67,35;"Charged Off";"debt_consolidation";3,96;"default_new";"Medium";"Senior"
13;13;12;"C";"10+ years";"MORTGAGE";65;"Charged Off";"credit_card";17,35;"default_new";"Medium";"Senior"
12;12;14;"D";"10+ years";"MORTGAGE";82;"Charged Off";"debt_consolidation";2,37;"default_new";"Medium";"Senior"
6;6;8;"B";"5 years";"MORTGAGE";53;"Charged Off";"medical";16,6;"default_new";"Low";"Mid-level"
3;3;6;"A";"n/a";"MORTGAGE";48;"Charged Off";"home_improvement";0,9;"default_new";"Low";"Junior"
10;10;5;"A";"10+ years";"MORTGAGE";55;"Charged Off";"major_purchase";14,03;"default_new";"Low";"Senior"
10;10;15;"E";"10+ years";"MORTGAGE";38,4;"Charged Off";"other";14,41;"default_new";"Medium";"Senior"
5;5;12;"C";"10+ years";"MORTGAGE";46,8;"Charged Off";"debt_consolidation";14,33;"default_new";"Medium";"Senior"
5,5;5,5;14;"D";"4 years";"RENT";65;"Charged Off";"credit_card";10,63;"default_new";"Medium";"Junior"
12;12;14;"D";"5 years";"MORTGAGE";30,16;"Charged Off";"credit_card";17,27;"default_new";"Medium";"Mid-level"
22;22;8;"B";"< 1 year";"MORTGAGE";72,5;"Charged Off";"debt_consolidation";19,37;"default_new";"Low";"Junior"
11,5;11,5;14;"D";"5 years";"RENT";25,2;"Charged Off";"major_purchase";13,71;"default_new";"Medium";"Mid-level"
9,2;9,2;14;"D";"n/a";"OWN";30;"Charged Off";"other";19,28;"default_new";"Medium";"Junior"
5;5;10;"B";"10+ years";"MORTGAGE";98;"Charged Off";"vacation";22,22;"default_new";"Low";"Senior"
8;8;9;"B";"10+ years";"MORTGAGE";92;"Charged Off";"wedding";17,09;"default_new";"Low";"Senior"
10;10;9;"B";"< 1 year";"OWN";63;"Charged Off";"home_improvement";7,94;"default_new";"Low";"Junior"
25;25;17;"E";"< 1 year";"MORTGAGE";118;"Charged Off";"debt_consolidation";14,97;"default_new";"Medium";"Junior"
3,7;3,7;6;"A";"10+ years";"MORTGAGE";40;"Charged Off";"debt_consolidation";21,39;"default_new";"Low";"Senior"
12;12;10;"B";"7 years";"RENT";24;"Charged Off";"debt_consolidation";14,2;"default_new";"Low";"Mid-level"
20;20;18;"F";"2 years";"RENT";63;"Charged Off";"debt_consolidation";20,7;"default_new";"Medium";"Junior"
10;10;6;"A";"2 years";"MORTGAGE";43,2;"Charged Off";"debt_consolidation";20,58;"default_new";"Low";"Junior"
5,5;5,5;16;"E";"4 years";"RENT";74;"Charged Off";"vacation";0,45;"default_new";"Medium";"Junior"
13;13;9;"B";"9 years";"MORTGAGE";68;"Charged Off";"credit_card";17,08;"default_new";"Low";"Senior"
4,5;4,5;5;"A";"3 years";"RENT";50;"Charged Off";"debt_consolidation";18,91;"default_new";"Low";"Junior"
10;10;14;"D";"< 1 year";"MORTGAGE";136,5;"Charged Off";"home_improvement";17,74;"default_new";"Medium";"Junior"
10;10;12;"C";"7 years";"MORTGAGE";82;"Charged Off";"house";14,63;"default_new";"Medium";"Mid-level"
7;7;18;"F";"1 year";"RENT";49;"Charged Off";"debt_consolidation";2,35;"default_new";"Medium";"Junior"
22;22;12;"C";"3 years";"MORTGAGE";55;"Charged Off";"debt_consolidation";14,03;"default_new";"Medium";"Junior"
7;7;12;"C";"3 years";"RENT";60;"Charged Off";"wedding";19,8;"default_new";"Medium";"Junior"
25;25;14;"D";"4 years";"RENT";97,92;"Charged Off";"debt_consolidation";13,46;"default_new";"Medium";"Junior"
5;5;12;"C";"3 years";"RENT";70;"Charged Off";"credit_card";24,26;"default_new";"Medium";"Junior"
12;12;9;"B";"4 years";"MORTGAGE";80;"Charged Off";"small_business";14,12;"default_new";"Low";"Junior"
1,4;1,4;18;"F";"10+ years";"OWN";51;"Charged Off";"debt_consolidation";23,32;"default_new";"Medium";"Senior"
9,6;9,6;9;"B";"n/a";"MORTGAGE";51,6;"Charged Off";"medical";15,95;"default_new";"Low";"Junior"
7;7;9;"B";"3 years";"RENT";84;"Charged Off";"debt_consolidation";4,33;"default_new";"Low";"Junior"
25;25;16;"E";"9 years";"MORTGAGE";85;"Charged Off";"debt_consolidation";22,48;"default_new";"Medium";"Senior"
12;12;9;"B";"n/a";"OWN";42;"Default";"debt_consolidation";17,97;"default_new";"Low";"Junior"
15;15;6;"A";"3 years";"MORTGAGE";98,004;"Charged Off";"home_improvement";11,66;"default_new";"Low";"Junior"
7,75;7,75;9;"B";"2 years";"MORTGAGE";36;"Charged Off";"home_improvement";18,7;"default_new";"Low";"Junior"
3;3;12;"C";"7 years";"RENT";55;"Charged Off";"vacation";18,26;"default_new";"Medium";"Mid-level"
16;16;15;"E";"3 years";"MORTGAGE";75;"Late (31-120 days)";"other";16,4;"late";"Medium";"Junior"
9;9;10;"B";"10+ years";"MORTGAGE";85;"Charged Off";"car";20,34;"default_new";"Low";"Senior"
25;25;14;"D";"10+ years";"RENT";109;"Charged Off";"small_business";13,9;"default_new";"Medium";"Senior"
4,5;4,5;9;"B";"3 years";"MORTGAGE";38;"Charged Off";"car";14,46;"default_new";"Low";"Junior"
10;10;14;"D";"10+ years";"MORTGAGE";136,5;"Charged Off";"debt_consolidation";23,06;"default_new";"Medium";"Senior"
12;12;9;"B";"6 years";"RENT";58,26;"Charged Off";"debt_consolidation";8,24;"default_new";"Low";"Mid-level"
4;4;13;"C";"3 years";"MORTGAGE";36;"Charged Off";"other";21,27;"default_new";"Medium";"Junior"
2;2;12;"C";"< 1 year";"RENT";33;"Charged Off";"credit_card";4,55;"default_new";"Medium";"Junior"
5;5;8;"B";"6 years";"RENT";136,5;"Charged Off";"debt_consolidation";1,63;"default_new";"Low";"Mid-level"
10;10;9;"B";"4 years";"MORTGAGE";73,524;"Charged Off";"other";12,01;"default_new";"Low";"Junior"
9;9;12;"C";"10+ years";"MORTGAGE";74,1;"Charged Off";"small_business";24,89;"default_new";"Medium";"Senior"
15;15;6;"A";"10+ years";"MORTGAGE";126;"Charged Off";"debt_consolidation";6,26;"default_new";"Low";"Senior"
8,5;8,5;6;"A";"< 1 year";"RENT";23;"Charged Off";"debt_consolidation";22,9;"default_new";"Low";"Junior"
5;5;12;"C";"3 years";"MORTGAGE";60;"Charged Off";"debt_consolidation";20,24;"default_new";"Medium";"Junior"
4,5;4,5;12;"C";"3 years";"RENT";55,362;"Charged Off";"debt_consolidation";23,12;"default_new";"Medium";"Junior"
15;15;8;"B";"6 years";"RENT";87;"Charged Off";"credit_card";11,03;"default_new";"Low";"Mid-level"
5,5;5,5;10;"B";"5 years";"RENT";12;"Charged Off";"medical";11,7;"default_new";"Low";"Mid-level"
8;8;12;"C";"< 1 year";"RENT";96;"Charged Off";"credit_card";17,54;"default_new";"Medium";"Junior"
25;25;17;"E";"10+ years";"RENT";90;"Charged Off";"credit_card";10,31;"default_new";"Medium";"Senior"
17;17;9;"B";"10+ years";"MORTGAGE";120;"Charged Off";"home_improvement";7,35;"default_new";"Low";"Senior"
2,5;2,5;5;"A";"8 years";"RENT";40;"Charged Off";"debt_consolidation";14,7;"default_new";"Low";"Mid-level"
10;10;12;"C";"n/a";"OWN";24;"Charged Off";"home_improvement";2,5;"default_new";"Medium";"Junior"
6;6;13;"C";"< 1 year";"RENT";22,8;"Charged Off";"other";0;"default_new";"Medium";"Junior"
24;24;17;"E";"8 years";"MORTGAGE";77,257;"Charged Off";"moving";14,88;"default_new";"Medium";"Mid-level"
7,4;7,4;15;"D";"1 year";"MORTGAGE";55;"Charged Off";"car";24,39;"default_new";"Medium";"Junior"
24;24;17;"F";"3 years";"RENT";136,5;"Charged Off";"debt_consolidation";9,59;"default_new";"Medium";"Junior"
5;5;6;"A";"2 years";"RENT";42,5;"Charged Off";"debt_consolidation";10,48;"default_new";"Low";"Junior"
3,5;3,5;13;"C";"10+ years";"MORTGAGE";41,941;"Charged Off";"debt_consolidation";11,76;"default_new";"Medium";"Senior"
10;10;8;"B";"2 years";"MORTGAGE";40;"Charged Off";"debt_consolidation";15,69;"default_new";"Low";"Junior"
25;25;15;"D";"4 years";"MORTGAGE";75;"Charged Off";"debt_consolidation";9,17;"default_new";"Medium";"Junior"
3;3;10;"B";"10+ years";"RENT";64,8;"Charged Off";"other";14,56;"default_new";"Low";"Senior"
12;12;14;"D";"2 years";"RENT";42;"Charged Off";"debt_consolidation";11,69;"default_new";"Medium";"Junior"
25;25;14;"D";"1 year";"MORTGAGE";100;"Charged Off";"other";16,74;"default_new";"Medium";"Junior"
25;25;20;"G";"< 1 year";"MORTGAGE";86,1;"Charged Off";"debt_consolidation";12,36;"default_new";"High";"Junior"
16;16;10;"B";"5 years";"MORTGAGE";97,2;"Charged Off";"major_purchase";0,59;"default_new";"Low";"Mid-level"
20;20;16;"E";"5 years";"OWN";100;"Charged Off";"debt_consolidation";18,9;"default_new";"Medium";"Mid-level"
9;9;10;"B";"10+ years";"MORTGAGE";36;"Charged Off";"debt_consolidation";14,73;"default_new";"Low";"Senior"
6,925;6,925;9;"B";"< 1 year";"RENT";78;"Charged Off";"debt_consolidation";15,4;"default_new";"Low";"Junior"
4;4;9;"B";"n/a";"MORTGAGE";48;"Charged Off";"major_purchase";10,2;"default_new";"Low";"Junior"
3,5;3,5;13;"C";"< 1 year";"MORTGAGE";65;"Charged Off";"home_improvement";15,58;"default_new";"Medium";"Junior"
